From	To	Species	Gene Name
ENSMMUG00000003187	LOC715948	Macaca mulatta	high mobility group protein B2 pseudogene(LOC715948)
ENSMMUG00000008236	PPM1M	Macaca mulatta	protein phosphatase, Mg2+/Mn2+ dependent 1M(PPM1M)
ENSMMUG00000020275	hirip3	Macaca mulatta	HIRA interacting protein 3(HIRIP3)
ENSMMUG00000012493	TM9SF1	Macaca mulatta	transmembrane 9 superfamily member 1(TM9SF1)
ENSMMUG00000031449	ZCWPW2	Macaca mulatta	zinc finger CW-type and PWWP domain containing 2(ZCWPW2)
ENSMMUG00000000249	CAPNS1	Macaca mulatta	calpain small subunit 1(CAPNS1)
ENSMMUG00000012291	PAXBP1	Macaca mulatta	PAX3 and PAX7 binding protein 1(PAXBP1)
ENSMMUG00000005822	LOC698724	Macaca mulatta	ribonuclease UK114(LOC698724)
ENSMMUG00000000037	ISG20L2	Macaca mulatta	interferon stimulated exonuclease gene 20 like 2(ISG20L2)
ENSMMUG00000003874	CTSD	Macaca mulatta	cathepsin D(CTSD)
ENSMMUG00000008440	LOC702183	Macaca mulatta	germ cell-less protein-like 1(LOC702183)
ENSMMUG00000007064	NEURL1	Macaca mulatta	neuralized E3 ubiquitin protein ligase 1(NEURL1)
ENSMMUG00000011435	LOC699676	Macaca mulatta	left-right determination factor 2(LOC699676)
ENSMMUG00000020286	TSPYL5	Macaca mulatta	TSPY like 5(TSPYL5)
ENSMMUG00000005293	GPANK1	Macaca mulatta	G-patch domain and ankyrin repeats 1(GPANK1)
ENSMMUG00000011434	PYCR2	Macaca mulatta	pyrroline-5-carboxylate reductase family member 2(PYCR2)
ENSMMUG00000000439	LOC715795	Macaca mulatta	solute carrier family 2, facilitated glucose transporter member 3(LOC715795)
ENSMMUG00000021534	SLC16A10	Macaca mulatta	solute carrier family 16 member 10(SLC16A10)
ENSMMUG00000017375	CMPK1	Macaca mulatta	cytidine/uridine monophosphate kinase 1(CMPK1)
ENSMMUG00000003868	B3GALT4	Macaca mulatta	beta-1,3-galactosyltransferase 4(B3GALT4)
ENSMMUG00000030326	LOC717105	Macaca mulatta	interferon-induced transmembrane protein 3(LOC717105)
ENSMMUG00000014911	FBXO41	Macaca mulatta	F-box protein 41(FBXO41)
ENSMMUG00000031451	GOLGA3	Macaca mulatta	golgin A3(GOLGA3)
ENSMMUG00000023474	IREB2	Macaca mulatta	iron responsive element binding protein 2(IREB2)
ENSMMUG00000005007	SLC39A1	Macaca mulatta	solute carrier family 39 member 1(SLC39A1)
ENSMMUG00000017768	PPID	Macaca mulatta	peptidylprolyl isomerase D(PPID)
ENSMMUG00000006166	LOC699016	Macaca mulatta	long-wave-sensitive opsin 1(LOC699016)
ENSMMUG00000009702	MSH5	Macaca mulatta	mutS homolog 5(MSH5)
ENSMMUG00000009709	LOC715461	Macaca mulatta	transmembrane protein 102(LOC715461)
ENSMMUG00000018472	CWF19L1	Macaca mulatta	CWF19-like 1, cell cycle control (S. pombe)(CWF19L1)
ENSMMUG00000009117	HTRA1	Macaca mulatta	HtrA serine peptidase 1(HTRA1)
ENSMMUG00000028937	LOC698383	Macaca mulatta	40S ribosomal protein S8 pseudogene(LOC698383)
ENSMMUG00000018474	LOC715954	Macaca mulatta	signal-regulatory protein beta-1 isoform 3(LOC715954)
ENSMMUG00000000050	RPL35A	Macaca mulatta	ribosomal protein L35a(RPL35A)
ENSMMUG00000020941	LOC693438	Macaca mulatta	heat shock 60kDa protein 1 (chaperonin)-like(LOC693438)
ENSMMUG00000018470	ERLIN1	Macaca mulatta	ER lipid raft associated 1(ERLIN1)
ENSMMUG00000022914	RABL2B	Macaca mulatta	RAB, member of RAS oncogene family-like 2B(RABL2B)
ENSMMUG00000021539	LOC719082	Macaca mulatta	WASH complex subunit FAM21A(LOC719082)
ENSMMUG00000011604	RPA1	Macaca mulatta	replication protein A1(RPA1)
ENSMMUG00000014947	LOC709678	Macaca mulatta	60S ribosomal protein L34 pseudogene(LOC709678)
ENSMMUG00000029550	LOC717080	Macaca mulatta	protein S100-A11(LOC717080)
ENSMMUG00000006937	SNRPD2	Macaca mulatta	small nuclear ribonucleoprotein D2 polypeptide(SNRPD2)
ENSMMUG00000017760	FAM64A	Macaca mulatta	family with sequence similarity 64 member A(FAM64A)
ENSMMUG00000009500	LONRF1	Macaca mulatta	LON peptidase N-terminal domain and ring finger 1(LONRF1)
ENSMMUG00000020092	LOC100430606	Macaca mulatta	Ig lambda-6 chain C region-like(LOC100430606)
ENSMMUG00000009710	AP1S3	Macaca mulatta	adaptor related protein complex 1 sigma 3 subunit(AP1S3)
ENSMMUG00000009716	RRP7A	Macaca mulatta	ribosomal RNA processing 7 homolog A(RRP7A)
ENSMMUG00000028941	LOC696935	Macaca mulatta	lactate dehydrogenase B-like(LOC696935)
ENSMMUG00000007805	LIMCH1	Macaca mulatta	LIM and calponin homology domains 1(LIMCH1)
ENSMMUG00000011417	GLOD4	Macaca mulatta	glyoxalase domain containing 4(GLOD4)
ENSMMUG00000018482	UBE2F	Macaca mulatta	ubiquitin conjugating enzyme E2 F (putative)(UBE2F)
ENSMMUG00000006563	NPC2	Macaca mulatta	NPC intracellular cholesterol transporter 2(NPC2)
ENSMMUG00000000749	LOC721200	Macaca mulatta	complement C4-A(LOC721200)
ENSMMUG00000010180	SOX7	Macaca mulatta	SRY-box 7(SOX7)
ENSMMUG00000010113	SRD5A3	Macaca mulatta	steroid 5 alpha-reductase 3(SRD5A3)
ENSMMUG00000017123	FICD	Macaca mulatta	FIC domain containing(FICD)
ENSMMUG00000003142	FAM168A	Macaca mulatta	family with sequence similarity 168 member A(FAM168A)
ENSMMUG00000022428	NDUFB1	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit B1(NDUFB1)
ENSMMUG00000021561	NDUFS5	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit S5(NDUFS5)
ENSMMUG00000022425	ANKRD44	Macaca mulatta	ankyrin repeat domain 44(ANKRD44)
ENSMMUG00000031483	H3F3A	Macaca mulatta	H3 histone, family 3A(H3F3A)
ENSMMUG00000010392	GNG2	Macaca mulatta	G protein subunit gamma 2(GNG2)
ENSMMUG00000006381	C8H8orf59	Macaca mulatta	chromosome 8 open reading frame, human C8orf59(C8H8orf59)
ENSMMUG00000006383	LOC697476	Macaca mulatta	60S ribosomal protein L14 pseudogene(LOC697476)
ENSMMUG00000000079	FAM209B	Macaca mulatta	family with sequence similarity 209 member B(FAM209B)
ENSMMUG00000029774	LOC710274	Macaca mulatta	cytochrome c oxidase subunit 5B, mitochondrial pseudogene(LOC710274)
ENSMMUG00000031489	LOC693480	Macaca mulatta	60S ribosomal protein L7a pseudogene(LOC693480)
ENSMMUG00000029761	LOC714001	Macaca mulatta	histone H2B type 1-K-like(LOC714001)
ENSMMUG00000016453	PSMD9	Macaca mulatta	proteasome 26S subunit, non-ATPase 9(PSMD9)
ENSMMUG00000014326	MVD	Macaca mulatta	mevalonate diphosphate decarboxylase(MVD)
ENSMMUG00000010128	IGHMBP2	Macaca mulatta	immunoglobulin mu binding protein 2(IGHMBP2)
ENSMMUG00000000085	PAQR6	Macaca mulatta	progestin and adipoQ receptor family member 6(PAQR6)
ENSMMUG00000017336	PDHA1	Macaca mulatta	pyruvate dehydrogenase (lipoamide) alpha 1(PDHA1)
ENSMMUG00000022934	BLOC1S3	Macaca mulatta	biogenesis of lysosomal organelles complex 1 subunit 3(BLOC1S3)
ENSMMUG00000017133	C11H12orf45	Macaca mulatta	chromosome 11 open reading frame, human C12orf45(C11H12orf45)
ENSMMUG00000022958	LOC696015	Macaca mulatta	40S ribosomal protein S8 pseudogene(LOC696015)
ENSMMUG00000007851	SELENON	Macaca mulatta	selenoprotein N(SELENON)
ENSMMUG00000017722	CCSAP	Macaca mulatta	centriole, cilia and spindle associated protein(CCSAP)
ENSMMUG00000014333	PRPF38A	Macaca mulatta	pre-mRNA processing factor 38A(PRPF38A)
ENSMMUG00000020055	HSDL1	Macaca mulatta	hydroxysteroid dehydrogenase like 1(HSDL1)
ENSMMUG00000000717	CD3EAP	Macaca mulatta	CD3e molecule associated protein(CD3EAP)
ENSMMUG00000006971	FKBP11	Macaca mulatta	FK506 binding protein 11(FKBP11)
ENSMMUG00000011647	ATP5H	Macaca mulatta	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D(ATP5H)
ENSMMUG00000011646	TAF1D	Macaca mulatta	TATA-box binding protein associated factor, RNA polymerase I subunit D(TAF1D)
ENSMMUG00000012271	C14H11orf71	Macaca mulatta	chromosome 14 open reading frame, human C11orf71(C14H11orf71)
ENSMMUG00000006595	TUT1	Macaca mulatta	terminal uridylyl transferase 1, U6 snRNA-specific(TUT1)
ENSMMUG00000006979	EIF2S3	Macaca mulatta	eukaryotic translation initiation factor 2 subunit gamma(EIF2S3)
ENSMMUG00000007849	LOC703857	Macaca mulatta	histamine N-methyltransferase-like(LOC703857)
ENSMMUG00000016476	TRAIP	Macaca mulatta	TRAF interacting protein(TRAIP)
ENSMMUG00000016477	LOC702352	Macaca mulatta	ribosome biogenesis protein NSA2 homolog pseudogene(LOC702352)
ENSMMUG00000008227	LOC705588	Macaca mulatta	HLA class II histocompatibility antigen, DRB1-4 beta chain-like(LOC705588)
ENSMMUG00000017928	RPL13	Macaca mulatta	ribosomal protein L13(RPL13)
ENSMMUG00000000710	LOC698764	Macaca mulatta	inosine-5'-monophosphate dehydrogenase 1(LOC698764)
ENSMMUG00000000494	LOC711523	Macaca mulatta	ankyrin repeat domain-containing protein 18A(LOC711523)
ENSMMUG00000002848	RPS14	Macaca mulatta	ribosomal protein S14(RPS14)
ENSMMUG00000014346	Tmem91	Macaca mulatta	transmembrane protein 91(TMEM91)
ENSMMUG00000002849	SGSH	Macaca mulatta	N-sulfoglucosamine sulfohydrolase(SGSH)
ENSMMUG00000006987	POLR2F	Macaca mulatta	RNA polymerase II subunit F(POLR2F)
ENSMMUG00000003842	JMJD7	Macaca mulatta	jumonji domain containing 7(JMJD7)
ENSMMUG00000021313	RPL7L1	Macaca mulatta	ribosomal protein L7 like 1(RPL7L1)
ENSMMUG00000009346	AGAP1	Macaca mulatta	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1(AGAP1)
ENSMMUG00000017111	LOC718576	Macaca mulatta	caspase recruitment domain-containing protein 8-like(LOC718576)
ENSMMUG00000028709	LOC706282	Macaca mulatta	40S ribosomal protein S18 pseudogene(LOC706282)
ENSMMUG00000017312	ZRANB2	Macaca mulatta	zinc finger RANBP2-type containing 2(ZRANB2)
ENSMMUG00000013024	STOM	Macaca mulatta	stomatin(STOM)
ENSMMUG00000013020	GSN	Macaca mulatta	gelsolin(GSN)
ENSMMUG00000012419	PRICKLE4	Macaca mulatta	prickle homolog 4 (Drosophila)(PRICKLE4)
ENSMMUG00000022650	LOC100430397	Macaca mulatta	39S ribosomal protein L33, mitochondrial(LOC100430397)
ENSMMUG00000005622	DNAH7	Macaca mulatta	dynein axonemal heavy chain 7(DNAH7)
ENSMMUG00000000700	CLN3	Macaca mulatta	CLN3, battenin(CLN3)
ENSMMUG00000005098	PEBP1	Macaca mulatta	phosphatidylethanolamine binding protein 1(PEBP1)
ENSMMUG00000030117	LOC703794	Macaca mulatta	ribosomal protein L22-like(LOC703794)
ENSMMUG00000012956	PIN4	Macaca mulatta	peptidylprolyl cis/trans isomerase, NIMA-interacting 4(PIN4)
ENSMMUG00000030925	SDHD	Macaca mulatta	succinate dehydrogenase complex, subunit D, integral membrane protein(SDHD)
ENSMMUG00000005494	RPL10	Macaca mulatta	ribosomal protein L10(RPL10)
ENSMMUG00000003381	CDK3	Macaca mulatta	cyclin dependent kinase 3(CDK3)
ENSMMUG00000015168	TMED10	Macaca mulatta	transmembrane p24 trafficking protein 10(TMED10)
ENSMMUG00000017174	SUV39H2	Macaca mulatta	suppressor of variegation 3-9 homolog 2(SUV39H2)
ENSMMUG00000002269	SCPEP1	Macaca mulatta	serine carboxypeptidase 1(SCPEP1)
